"","nome","pais","corrida","ano","horario","tempo","percurso","largada","chegada","data","pace","sexo"
"87","Simon Chemwoyo","Quênia",69,1993,"1993-12-31 17:00:00",43.3333333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1993-12-31 12:00:00,2.88888888888889,"masculino"
"88","Hellen Kimayio","Quênia",69,1993,"1993-12-31 15:15:00",50.4333333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1993-12-31 12:00:00,3.36222222222222,"feminino"
"89","Ronaldo Costa","Brasil",70,1994,"1994-12-31 17:00:00",44.1833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1994-12-31 12:00:00,2.94555555555556,"masculino"
"90","Derartu Tulu","Etiópia",70,1994,"1994-12-31 15:15:00",51.2833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1994-12-31 12:00:00,3.41888888888889,"feminino"
"91","Paul Tergat","Quênia",71,1995,"1995-12-31 17:00:00",43.2,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1995-12-31 12:00:00,2.88,"masculino"
"92","Carmen Oliveira","Brasil",71,1995,"1995-12-31 15:15:00",50.8833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1995-12-31 12:00:00,3.39222222222222,"feminino"
"93","Paul Tergat","Quênia",72,1996,"1996-12-31 17:00:00",43.8333333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1996-12-31 12:00:00,2.92222222222222,"masculino"
"94","Roseli Machado","Brasil",72,1996,"1996-12-31 15:15:00",52.5333333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1996-12-31 12:00:00,3.50222222222222,"feminino"
"95","Émerson Iser Bem","Brasil",73,1997,"1997-12-31 17:00:00",44.6666666666667,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1997-12-31 12:00:00,2.97777777777778,"masculino"
"96","Martha Thenório","Equador",73,1997,"1997-12-31 15:15:00",52.05,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1997-12-31 12:00:00,3.47,"feminino"
"97","Paul Tergat","Quênia",74,1998,"1998-12-31 17:00:00",44.7833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1998-12-31 12:00:00,2.98555555555556,"masculino"
"98","Olivera Jevtic","Iugoslávia",74,1998,"1998-12-31 15:15:00",51.5833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1998-12-31 12:00:00,3.43888888888889,"feminino"
"99","Paul Tergat","Quênia",75,1999,"1999-12-31 17:00:00",44.5833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1999-12-31 12:00:00,2.97222222222222,"masculino"
"100","Lydia Cheromei","Quênia",75,1999,"1999-12-31 15:15:00",51.4833333333333,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",1999-12-31 12:00:00,3.43222222222222,"feminino"
"101","Paul Tergat","Quênia",76,2000,"2000-12-31 17:00:00",43.95,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",2000-12-31 12:00:00,2.93,"masculino"
"102","Lydia Cheromei","Brasil",76,2000,"2000-12-31 15:15:00",50.55,15000,"Av. Paulista, em frente ao MASP.","Av. Paulista 900, na frente do Edifício Cásper Líbero.",2000-12-31 12:00:00,3.37,"feminino"
