nome,pais,corrida,ano,horario,tempo,percurso,largada,chegada
Rafael Tadeo Palomares,México,47,1971,23:38:00,00:23:47.000,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Frank Shorter,Estados Unidos,46,1970,23:45:00,00:24:27.000,8900,"Av. Paulista 900, em frente ao Edifício Cásper Líbero. Descida pela Brig. Luiz Antônio. Subida pela Rua da Consolação.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Juan Martinez,México,45,1969,23:45:00,00:24:02.000,8700,Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio,Av. Paulista 900 – Edifício Cásper Líbero – Subida pela Rua da Consolação
Gaston Roelants,Bélgica,44,1968,23:50:00,00:24:32.000,8700,"Av. Paulista 900, em frente ao Edifício Cásper Líbero.","Av. Paulista 900, na frente do Edifício Cásper Líbero."
Gaston Roelants,Bélgica,43,1967,23:45:00,00:24:31.000,8700,Av. Paulista 900 – Edifício Cásper Líbero – Descida pela Brig. L. Antônio,Av. Paulista 900 – Edifício Cásper Líbero – Subida pela Rua da Consolação
Alvaro Mejia Flores,Colômbia,42,1966,23:32:00,00:29:57.000,9200,"Av. Paulista 900, em frente ao Edifício Cásper Líbero","Av. Paulista 900, na frente do Edifício Cásper Líbero"
Gaston Roelants,Bélgica,41,1965,23:45:00,00:21:20.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Gaston Roelants,Bélgica,40,1964,23:45:00,00:21:37.000,7400,Av. Cásper Líbero.,Edifício Palácio da Imprensa – Rua da Conceição
Henry Clerckx,Bélgica,39,1963,23:45:00,00:21:55.000,7400,Av. Cásper Líbero.,Edifício Palácio da Imprensa – Rua da Conceição
Hamoud Ameur,França,38,1962,23:45:00,00:22:08.000,7400,Av. Cásper Líbero.,Edifício Palácio da Imprensa – Rua da Conceição
Martin Hyman,Inglaterra,37,1961,23:45:00,00:21:24.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Osvaldo Suarez,Argentina,36,1960,23:45:00,00:22:02.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Osvaldo Suarez,Argentina,35,1959,23:45:00,00:21:55.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Osvaldo Suarez,Argentina,34,1958,23:45:00,00:21:40.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Manoel Faria,Portugal,33,1957,23:45:00,00:21:37.000,7300,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Manoel Faria,Portugal,32,1956,23:45:00,00:21:58.000,7300,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Kenneth Norris,Inglaterra,31,1955,23:45:00,00:22:18.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Franjo Mihalic,Iugoslávia,30,1954,23:43:00,00:21:51.000,7400,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Emil Zatopek,Checoslováquia,29,1953,23:30:00,00:20:30.000,7300,Av. Cásper Líbero,Edifício Palácio da Imprensa – Rua da Conceição
Franjo Mihalic,Iugoslávia,28,1952,23:30:00,00:21:38.000,7300,Rua da Conceição – Edifício Palácio da Imprensa,Edifício Palácio da Imprensa – Rua da Conceição
Erik Krucziky,Alemanha,27,1951,23:40:00,00:22:26.000,7300,Rua da Conceição – Edifício Palácio da Imprensa,Edifício Palácio da Imprensa – Rua da Conceição
Lucien Theys,Bélgica,26,1950,23:44:00,00:22:37.000,7300,Rua da Conceição – Edifício Palácio da Imprensa,Edifício Palácio da Imprensa – Rua da Conceição
Viljo Heino,Finlândia,25,1949,23:40:00,00:22:45.000,7300,Praça Oswaldo Cruz esquina com a Av. Paulista,Edifício Palácio da Imprensa – Rua da Conceição
Raul Inostroza,Chile,24,1948,23:46:00,00:22:18.000,7000,Em frente ao Estádio do Pacaembu,C.R. Tietê
Oscar Moreira,Uruguai,23,1947,23:45:00,00:21:45.000,7000,Em frente ao Estádio do Pacaembu,C.R. Tietê
Sebastião Alves Monteiro,Brasil,22,1946,23:45:00,00:21:57.000,7000,Largada: Em frente ao Estádio do Pacaembu,C.R. Tietê
Sebastião Alves Monteiro,Brasil,21,1945,23:45:00,00:21:54.000,7000,Em frente ao Estádio do Pacaembu,C.R. Tietê
Joaquim Gonçalves de Silva,Brasil,20,1944,23:38:00,00:17:40.000,5500,Av. 9 de Julho – Túnel 9 de Julho,C.R. Tietê
Joaquim Gonçalves de Silva,Brasil,19,1943,23:30:00,00:17:31.000,5500,Av. 9 de Julho – Túnel 9 de Julho,C.R. Tietê
Joaquim Gonçalves de Silva,Brasil,18,1942,23:30:00,00:17:02.000,5500,Av. 9 de Julho – Túnel 9 de Julho,C.R. Tietê
José Tibúrcio dos Santos,Brasil,17,1941,23:30:00,00:22:12.000,7000,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Antônio Alves,Brasil,16,1940,23:30:00,00:23:14.000,7000,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Luiz Del Greco,Brasil,15,1939,23:30:00,00:24:50.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Armando Martins,Brasil,14,1938,23:45:00,00:23:38.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Mario Oliveira,Brasil,13,1937,23:30:00,00:23:26.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Mario Oliveira,Brasil,12,1936,23:30:00,00:23:38.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
Nestor Gomes,Brasil,11,1935,23:45:00,00:25:51.000,7600,"Av. Paulista, esquina da Av. Angélica – Monumento do Olavo Bilac",C.R. Tietê
